unique_id,ds,y_freight,y_items,y_weight_kg,items_missing_weight
01_05,2018-02-26,7.78,1,0.15,0
01_05,2018-03-05,14.78,2,0.32499999999999996,0
01_05,2018-03-12,8.29,1,0.1,0
01_05,2018-03-19,40.18,3,10.55,0
01_05,2018-03-26,16.37,2,0.925,0
01_05,2018-04-02,7.39,1,0.15,0
01_05,2018-04-16,7.39,1,0.2,0
01_05,2018-04-30,16.27,2,0.575,0
01_05,2018-05-07,33.32,4,1.65,0
01_05,2018-05-14,14.78,2,0.55,0
01_05,2018-05-21,7.39,1,0.2,0
01_05,2018-05-28,25.64,3,1.7000000000000002,0
01_05,2018-06-04,22.169999999999998,3,0.5,0
01_05,2018-06-11,14.83,2,0.35,0
01_05,2018-06-18,7.39,1,0.2,0
01_05,2018-06-25,23.07,3,0.55,0
01_05,2018-07-02,7.39,1,0.175,0
01_05,2018-07-16,7.39,1,0.2,0
01_05,2018-07-23,18.66,1,5.5,0
01_05,2018-07-30,17.18,2,0.433,0
01_05,2018-08-06,67.08,5,5.11,0
01_05,2018-08-13,7.39,1,0.05,0
01_05,2018-08-20,85.42,8,12.301,0
01_05,2018-08-27,7.39,1,0.2,0
01_06,2017-01-23,10.96,1,0.2,0
01_06,2017-01-30,10.96,1,1.0,0
01_06,2017-03-06,12.01,1,0.75,0
01_06,2017-03-20,10.96,1,0.15,0
01_06,2017-05-01,7.78,1,0.1,0
01_06,2017-06-05,7.78,1,0.2,0
01_06,2017-06-19,7.78,1,0.1,0
01_06,2017-07-10,18.13,1,6.2,0
01_06,2017-08-21,18.68,2,2.8,0
01_06,2017-09-25,34.87,4,1.85,0
01_06,2017-10-16,7.78,1,0.167,0
01_06,2017-10-23,9.34,1,0.5,0
01_06,2017-10-30,9.44,1,0.75,0
01_06,2017-11-13,16.5,2,1.7000000000000002,0
01_06,2017-11-20,7.78,1,0.25,0
01_06,2017-11-27,19.92,3,0.65,0
01_06,2017-12-04,7.78,1,0.175,0
01_06,2017-12-25,7.78,1,0.15,0
01_06,2018-01-01,16.5,2,0.45,0
01_06,2018-01-08,7.78,1,0.2,0
01_06,2018-01-22,15.56,2,0.45,0
01_06,2018-01-29,7.78,1,0.125,0
01_06,2018-02-05,15.56,2,0.45,0
01_06,2018-02-12,38.2,4,6.45,0
01_06,2018-02-19,17.22,2,0.95,0
01_06,2018-02-26,17.22,2,2.1,0
01_06,2018-03-05,8.4,1,0.275,0
01_06,2018-03-12,15.68,2,0.3,0
01_06,2018-03-19,16.27,2,1.25,0
01_06,2018-03-26,8.98,1,0.75,0
01_06,2018-04-02,50.73,5,14.125,0
01_06,2018-04-09,15.68,2,0.4,0
01_06,2018-04-16,12.58,1,6.7,0
01_06,2018-04-23,15.68,2,0.35,0
01_06,2018-04-30,29.189999999999998,3,1.603,0
01_06,2018-05-07,14.78,2,0.375,0
01_06,2018-05-14,8.29,1,0.5,0
01_06,2018-05-21,7.74,1,0.5,0
01_06,2018-06-04,16.509999999999998,2,1.05,0
01_06,2018-06-11,8.29,1,0.2,0
01_06,2018-06-18,15.530000000000001,2,0.3,0
01_06,2018-06-25,16.04,2,0.35,0
01_06,2018-07-16,42.97,5,3.084,0
01_06,2018-07-23,45.55,6,1.628,0
01_06,2018-07-30,13.41,1,2.5,0
01_06,2018-08-06,124.78,10,19.256,0
01_06,2018-08-13,38.06,3,0.7,0
01_06,2018-08-20,36.11,4,2.533,0
01_06,2018-08-27,9.43,1,0.7,0
01_07,2017-03-13,14.74,1,0.4,0
01_07,2017-03-20,12.01,1,0.75,0
01_07,2017-05-08,11.85,1,0.4,0
01_07,2017-05-29,15.56,2,0.25,0
01_07,2017-06-05,7.78,1,0.1,0
01_07,2017-08-21,15.64,2,0.8220000000000001,0
01_07,2017-09-04,7.78,1,0.1,0
01_07,2017-10-16,15.56,2,0.15000000000000002,0
01_07,2017-10-23,58.9,1,10.6,0
01_07,2017-11-06,7.78,1,0.2,0
01_07,2017-12-25,19.42,1,9.0,0
01_07,2018-01-08,22.740000000000002,2,6.4,0
01_07,2018-01-15,7.78,1,0.1,0
01_07,2018-01-22,7.78,1,0.2,0
01_07,2018-01-29,8.72,1,0.15,0
01_07,2018-02-05,9.34,1,0.8,0
01_07,2018-02-12,26.150000000000002,3,0.55,0
01_07,2018-03-12,7.39,1,0.1,0
01_07,2018-03-19,70.44,4,20.0,0
01_07,2018-04-02,7.39,1,0.1,0
01_07,2018-04-09,15.68,2,0.475,0
01_07,2018-04-30,8.88,1,0.3,0
01_07,2018-05-07,19.29,2,0.35,0
01_07,2018-05-14,24.01,3,2.15,0
01_07,2018-06-11,9.57,1,0.2,0
01_07,2018-06-18,18.49,1,0.2,0
01_07,2018-06-25,29.56,4,3.0250000000000004,0
01_07,2018-07-02,8.89,1,0.35,0
01_07,2018-07-23,13.12,1,1.5,0
